,conversation
55701,"It's an honor to meet you. I can't tell    you how long I've been an admirer of your work, I mean, that Nobel prize,     whoooo! I mean, I have to tell you that, you're one of    the reasons I got into the field."
55702,"Oh, well, likewise. Actually, not likewise. I've    never heard of you until this morning, but, it's nice to be nice!"
55703,Shall we? .
55704,Thank you! . I can't    believe that you chose this restaurant! Do you remember the night?
55705,"Oh my God, I completely forgot!  Oh   my  God! I can't believe they let us back in this place! ."
55706,You weren't there!
55707,"No, but, it's, you know, it's just a funny image,    you know, the two of you, in this restaurant, with... tzz-zzz,    mmm."
55708,"Ross, why don't you tell Benji about your proposal,    while I go to the ladies room?"
55709,"So, tell me about it."
55710,"Ok well, I would like to do a dig in the painted desert."
55711,M-m.
55712,"See, there are still several areas that haven't    been fully excavated."
55713,Break up with Charlie!
55714,What?
55715,What?
55716,"Did you just say ""break up with Charlie""?"
55717,"Well, yes, and now. Yes I did say it, and no, I    didn't not say it."
55718,"Kind of inappropriate, don't you think?"
55719,"I'm sorry. I just haven't seen her for so    long! All these feelings are rushing back! I'm starting to realize how much    I missed her, and I'm gonna need you to break up with her."
55720,Are you serious?
55721,"If you say yes then I'm serious, if you say no then    I'm joking!"
55722,No!
55723,Joking it is!
55724,Monica's apartment. Phoebe enters the room.]
55725,"Hi! Sorry, I'm late."
55726,"Hey, how did it go with Mike, is he gonna let you    keep the painting?"
55727,"No, he really hates it. But he's gonna let me    keep my box of human hair! So you got to pick your battles. But the good news    is, Gladys is yours!"
55728,"Wow, what's the bad news!"
55729,Who's Gladys?
55730,"Oh, she's that work of art I made, you know,    with the woman coming out of the frame."
55731,"Oh, and Monica gets to keep her?   In her house? I am so jealous!"
55732,"Oh, I didn't know you wanted her too!"
55733,Huh!
55734,"Well, I mean, sure, of course. But... you already    gave that to Monica, so..."
55735,"You know, I would give her up, for you."
55736,"No, I couldn't let you do that."
55737,But I want to.
55738,But I don't want you to.
55739,But I insist!
55740,But I insist harder!
55741,"Girls, girls, stop, ok? We'll flip a coin. Heads,    she's Rachel's, tails she's Monica's. . Tails! Monica, she's yours!"
55742,"No, that landed in your food!"
55743,"No, no, that's ok. You won fair    and square. I'm so sad!"
55744,Chandler walks into Joey's apartment]
55745,Hey Joe!
55746,What's up?
55747,Bad news. I watched the tape and passed it along    to my bosses and they weren't interested.
55748,Oh.
55749,I'm sorry man.
55750,"But, ehm... you watched    the tape?"
55751,"Yeah! I... I... I liked it!  But, ehm... my bosses didn't go for it.    Stupid sons of bitches!"
55752,You didn't watch the tape.
55753,What!? Of course I did!
55754,"Look, it's one thing not to cast me, but to lie to me?"
55755,"I'm not lying to you, I watched it!"
55756,"Well, you lied again!"
55757,I watched it!
55758,Keep going Pinocchio!
55759,I did!
55760,No you didn't!
55761,"I'm telling you, I watched the tape."
55762,Did you watch the tape?
55763,No!
55764,Interview room. Ross and two other professors  are sitting on one side of a long desk. Benjamin Hobart is sitting    on the other side]
55765,"The selection committee has chosen the three of    you as our finalists today. The ultimate decision will be based upon the answers    you give to the questions I ask here. I'm gonna start with Dr. Li. Dr. Li, you    claim the field is too reliant on the Linnaean taxonomic system. How do you    propose to correct this problem?"
55766,"Well, I believe that the answers lie in the osteological    evidence. I plan to begin there."
55767,Interesting.
55768,I guess!
55769,"Dr. Biely, your proposal includes some field work.    Where might that take place?"
55770,Primarily in the Pierre Shale region of South Dakota.
55771,"Certainly. Very well. And Dr. Geller, when is my    birthday?"
55772,What? I... I...
55773,Care to venture a guess?
55774,May 12th?
55775,"That's not even    kinda close!  Dr. Li, how many graduate students    you'd be needing?"
55776,Half a dozen.
55777,"I see, and Dr. Biely?"
55778,Three for excavation and two for analysis.
55779,"Certainly. Dr. Geller, which 1965 Shirelles hit    was later covered by a popular British invasion band?"
55780,Wha..? I need 6 graduate students.
55781,"No! I'm sorry, we were looking for ""Baby It's    You"". Baby It's You."
55782,"Wha...? Wait, wait, wait, just a minute. None of my    questions have anything to do with Paleontology."
55783,"You're right, I apologize. Scratch the last question.    Spell ""Boscodictiasaur""."
55784,"um... I've never heard of a ""Boscodictiasaur""."
55785,"Yeah, I just made it up. Spell it."
55786,Ok.  B - O - S ...
55787,"No, it starts with a silent ""M""."
55788,Oh come on!!
55789,Joey and Rachel's apartment. Chandler and Rachel are    talking.]
55790,I can't believe Joey. I hate being called a liar!
55791,But you are a liar.
55792,What did I just say?
55793,You still here?
55794,"Yes, and I have to say, I am not just hurt. I am    insulted. When I tell somebody I did something..."
55795,"Ok whoah-hey... Let me just stop you right there, ok?    First, you lied, right? Then, you lied about lying, ok? Then you lied about    lying about lying, ok? So before you lie about lying about lying about lying    about... lying...   Stop lying!"
55796,Why are you so sure I didn't watch this tape?
55797,You wanna know wh...? You wanna know why?
55798,"Well, this is going well."
55799,"Here's how I know you didn't    watch the tape, ok?  If you had seen what was on this    tape, believe me, you would have some comments. Alright, now remember, I    got paid a lot of money for this and it only aired in Japan."
55800,
55801,And that's how I know you    didn't watch the tape! .
55802,He really is a chameleon.
55803,Monica's apartment. Phoebe enters carrying the horrific    'painting' of Gladys. Monica and Rachel are sitting on the couch.]
55804,"Well, Gladys say hello to    your new home!"
55805,"Oh, my!"
55806,"Wow!  Oh,    she's so nice and big! Oh, Monica, where are you going to display Gladys oh    so proudly?"
55807,I haven't really settled on a spot yet!
55808,"Well, hey! How about right above the TV? . That way, it will be    the first thing that you see when you walk in the door!"
55809,"Yeah, yeah! And you can    get rid of that French poster."
55810,I like that poster!
55811,Really? It doesn't have anything coming out of it.    Or maybe there is some place for her in your bedroom?
55812,Oh! There's    nothing above your bed!!
55813,Are you still here?
55814,Ross' office. Ross is pacing and Benjamin enters]
55815,"Oh hi! Hello! Uh, have you come to ask me some more paleontology    related questions? Uhm... your grandmother's nickname, perhaps?     Aunt Margaret's pants size?"
55816,I've come here to apologize. I think I may have    let my feelings for Charlie interfere with the interview process.
55817,No! Stop!
55818,"Anyway, I've decided to offer you the grant."
55819,Really?
55820,Well... there is just one small... stipulation...
55821,I have to break up with Charlie?
55822,"Hey, you got one right!"
55823,You're crazy.
55824,"Crazy, or... romantic?"
55825,Crazy!
55826,Ooor...
55827,Get out!
55828,Joey and Rachel's apartment.]
55829,O-oh my God!
55830,What?
55831,"Joey, what... is... this...thing... doing here?"
55832,I got it from Monica. She sold it to me for a very    reasonable price.
55833,"Joey, we're not keeping this!"
55834,But it's an original Buffay...
55835,"Alright, fine. You can keep it. As long as you don't    mind that she's haunted."
55836,Hey? what? what? wey! whoo! what? what!?
55837,"Well, legend has it Joey, that... she comes alive    when you're asleep."
55838,"She climbs out of the frame, and then drags her half-a-body    across the floor, just looking for legs to steal.     And then with her one good hand, she slo-o-owly re-e-a-aches up and turns your    doorknob."
55839,GET THAT LEGLESS WITCH OUT OF HERE!
55840,Hey! I sold that to Joey.
55841,"Well, why I told him it's haunted. Two can play at    this game."
55842,"No, too late. You can't give it back!"
55843,Yes I can!
55844,No you can't. She's yours!
55845,She's yours!
55846,SHE'S YOURS!
55847,She's yours!
55848,Hey!
55849,She's mine!
55850,She's m-i-i-ne!
55851,She's mine!
55852,She's mine!
55853,You guys! You guys! You don't have to fight over her    anymore.  Whoever doesn't get Gladys gets Glynnis.
55854,I want Gladys!
55855,She's mine!
55856,She's mine!
55857,She's mine!
55858,She's mine!
55859,"Rachel and Joey's. Joey's home alone, reading a Sports    Illustrated magazine when Chandler enters.]"
55860,"Look, I'm sorry I didn't give them your tape. And    I promise, next time to submit you whether I think you are right for the part    or not."
55861,That's not the point Chandler. The point is that you    lied.
55862,I know. You're right. What's it gonna take for you    to forgive me?
55863,"Central Perk. Monica, Phoebe and Rachel are on the couch.]"
55864,Oh my God!
55865,Excellent!
55866,"Now, what do you say?"
55867,Lying is wrong!
55868,And?... AND?
55869,I'm a pretty little girl.
55870,I knew it!
55871,Central Perk. Some time later that day. The group has    left and Charlie is there when Ross enters.]
55872,Your ex-boyfriend is insane.
55873,Did you get the grant?
55874,"No I didn't, and you want to know why? Because your    ex-boyfriend is still in love with you."
55875,What?
55876,"Yeah. He wouldn't give me the grant, because I wouldn't    give you up."
55877,"Benji isn't in love with me. I mean, he broke up    with me. And besides, he's a very ethical man."
55878,"Really? Is it ethical to ask someone in a grant review,    who was the voice of ""Underdog""?"
55879,"I'm sure he was just joking, Ross."
55880,"If you don't believe me, let's go talk to him, okay?    I'm telling you, he didn't ask me one paleontological question."
55881,Seriously?
55882,"Oh, I'm sorry, no. He did ask me one. Uhm... How do    you spell Mboscodictiosaur?"
55883,"Well, if it's like the lake Mbosco in Congo, then    M-B-O..."
55884,Damnit!
55885,Benjamin's office. Ross and Charlie are entering.]
55886,Dr. Geller...? Charlie... What are you... what are    you doing here?
55887,"I want you to tell her everything. About the deal you    tried to make with me, about the crazy questions you... Wally Cox! That's the    voice of Underdog!"
55888,"Like I tried to tell you in the interview Ross,    this grant is not based on your knowledge of pretty useless trivia."
55889,"No, no, no. Don't do that! I want you to look her in    the eyes, and tell her the truth."
55890,Benji?
55891,"Alright, it's true. I behaved horribly. But it's    only because I still love you. And I would do anything to have you back in    my life."
55892,"Too little, too late, Benji!"
55893,I can't believe this.
55894,"I never should have broken up with you. I think    about you all the time. I mean, do you ever still think about me?"
55895,No!
55896,Yes!
55897,What?
55898,"I don't know what to say, Benji. This is all so....    romantic."
55899,or...
55900,"Listen, I know, I may be way out of bounds here,    but is there any chance you will take me back?"
55901,Maybe...
55902,"Sweetie, this conversation is starting to make me a    little uncomfortable."
55903,"Oh God! I am so sorry, but...  I mean it's... there's so much history between us, you know..."
